mesh size = 12
temperatures   free_energy      entropy        heat_capacity
       0.000    9141.8055991      0.0000000      0.0000000
      10.000    9141.6593592     44.9062059     94.0478389
      20.000    9140.6114571    174.6838982    309.8505238
      30.000    9138.0471713    341.4056320    524.1348270
      40.000    9133.7474548    519.3501636    718.8696391
      50.000    9127.6552534    698.9399315    894.3528144
      60.000    9119.7762072    876.3368072   1054.1921160
      70.000    9110.1408297   1050.0706662   1201.9017179
      80.000    9098.7885988   1219.6758169   1340.0483148
      90.000    9085.7612474   1385.1060162   1470.3931247
     100.000    9071.0999789   1546.4883079   1594.2155392
     110.000    9054.8443097   1704.0231102   1712.5605247
     120.000    9037.0315631   1857.9445426   1826.3701279
     130.000    9017.6966278   2008.5035381   1936.5277426
     140.000    8996.8718389   2155.9585659   2043.8551837
     150.000    8974.5869389   2300.5686621   2149.0933425
     160.000    8950.8691023   2442.5874358   2252.8839083
     170.000    8925.7430159   2582.2580112   2355.7591821
     180.000    8899.2310051   2719.8090935   2458.1408339
     190.000    8871.3531918   2855.4522316   2560.3457062
     200.000    8842.1276755   2989.3802068   2662.5960845
     210.000    8811.5707248   3121.7663777   2765.0321646
     220.000    8779.6969718   3252.7647760   2867.7250686
     230.000    8746.5196021   3382.5107526   2970.6893740
     240.000    8712.0505373   3511.1219981   3073.8945900
     250.000    8676.3006053   3638.6997988   3177.2753391
     260.000    8639.2796971   3765.3304190   3280.7401934
     270.000    8600.9969106   3891.0865315   3384.1792213
     280.000    8561.4606786   4016.0286414   3487.4703505
     290.000    8520.6788843   4140.2064632   3590.4846685
     300.000    8478.6589620   4263.6602294   3693.0907811
     310.000    8435.4079859   4386.4219122   3795.1583436
     320.000    8390.9327472   4508.5163531   3896.5608679
     330.000    8345.2398199   4629.9622938   3997.1778988
     340.000    8298.3356173   4750.7733107   4096.8966452
     350.000    8250.2264389   4870.9586542   4195.6131424
     360.000    8200.9185105   4990.5239964   4293.2330154
     370.000    8150.4180162   5109.4720926   4389.6719059
     380.000    8098.7311245   5227.8033625   4484.8556224
     390.000    8045.8640096   5345.5163965   4578.7200613
     400.000    7991.8228666   5462.6083933   4671.2109489
     410.000    7936.6139245   5579.0755359   4762.2834419
     420.000    7880.2434538   5694.9133105   4851.9016232
     430.000    7822.7177726   5810.1167758   4940.0379238
     440.000    7764.0432498   5924.6807872   5026.6724955
     450.000    7704.2263056   6038.6001810   5111.7925578
     460.000    7643.2734117   6151.8699247   5195.3917356
     470.000    7581.1910886   6264.4852359   5277.4694026
     480.000    7517.9859032   6376.4416762   5358.0300424
     490.000    7453.6644648   6487.7352210   5437.0826344
     500.000    7388.2334204   6598.3623118   5514.6400726
     510.000    7321.6994503   6708.3198907   5590.7186205
     520.000    7254.0692628   6817.6054226   5665.3374053
     530.000    7185.3495887   6926.2169049   5738.5179531
     540.000    7115.5471765   7034.1528688   5810.2837647
     550.000    7044.6687863   7141.4123728   5880.6599319
     560.000    6972.7211854   7247.9949901   5949.6727935
     570.000    6899.7111426   7353.9007915   6017.3496285
     580.000    6825.6454238   7459.1303246   6083.7183847
     590.000    6750.5307870   7563.6845910   6148.8074410
     600.000    6674.3739781   7667.5650207   6212.6454001
     610.000    6597.1817267   7770.7734463   6275.2609098
     620.000    6518.9607419   7873.3120761   6336.6825101
     630.000    6439.7177093   7975.1834674   6396.9385038
     640.000    6359.4592871   8076.3904999   6456.0568480
     650.000    6278.1921033   8176.9363494   6514.0650649
     660.000    6195.9227526   8276.8244627   6570.9901691
     670.000    6112.6577942   8376.0585335   6626.8586098
     680.000    6028.4037491   8474.6424782   6681.6962257
     690.000    5943.1670980   8572.5804146   6735.5282121
     700.000    5856.9542798   8669.8766405   6788.3790972
     710.000    5769.7716894   8766.5356139   6840.2727265
     720.000    5681.6256764   8862.5619344   6891.2322556
     730.000    5592.5225438   8957.9603258   6941.2801483
     740.000    5502.4685469   9052.7356204   6990.4381797
     750.000    5411.4698920   9146.8927433   7038.7274441
     760.000    5319.5327359   9240.4366990   7086.1683662
     770.000    5226.6631850   9333.3725584   7132.7807149
     780.000    5132.8672947   9425.7054470   7178.5836196
     790.000    5038.1510687   9517.4405344   7223.5955880
     800.000    4942.5204593   9608.5830239   7267.8345254
     810.000    4845.9813662   9699.1381436   7311.3177546
     820.000    4748.5396368   9789.1111385   7354.0620365
     830.000    4650.2010663   9878.5072625   7396.0835911
     840.000    4550.9713970   9967.3317721   7437.3981183
     850.000    4450.8563187  10055.5899197   7478.0208188
     860.000    4349.8614690  10143.2869488   7517.9664146
     870.000    4247.9924327  10230.4280881   7557.2491693
     880.000    4145.2547428  10317.0185479   7595.8829075
     890.000    4041.6538801  10403.0635155   7633.8810337
     900.000    3937.1952736  10488.5681519   7671.2565513
     910.000    3831.8843010  10573.5375886   7708.0220795
     920.000    3725.7262888  10657.9769246   7744.1898708
     930.000    3618.7265126  10741.8912244   7779.7718272
     940.000    3510.8901977  10825.2855151   7814.7795154
     950.000    3402.2225191  10908.1647851   7849.2241821
     960.000    3292.7286022  10990.5339823   7883.1167674
     970.000    3182.4135233  11072.3980126   7916.4679188
     980.000    3071.2823097  11153.7617386   7949.2880034
     990.000    2959.3399402  11234.6299787   7981.5871198
    1000.000    2846.5913458  11315.0075063   8013.3751098
