mesh size = 12
temperatures   free_energy      entropy        heat_capacity
       0.000    4314.3771395      0.0000000      0.0000000
      10.000    4314.3490988     10.0886728     26.1477397
      20.000    4314.0617380     52.1571905    109.8639127
      30.000    4313.2358839    115.5621161    210.9004399
      40.000    4311.7132827    190.2492249    312.3932552
      50.000    4309.4133901    270.2762925    407.0747075
      60.000    4306.3012975    352.2942285    494.0781706
      70.000    4302.3667008    434.5820521    574.6873369
      80.000    4297.6115661    516.3114331    650.4195485
      90.000    4292.0435924    597.1119014    722.4885330
     100.000    4285.6729120    676.8407290    791.7693569
     110.000    4278.5104577    755.4673423    858.8893932
     120.000    4270.5671595    833.0165037    924.3162603
     130.000    4261.8535473    909.5401723    988.4144922
     140.000    4252.3795593    985.1030043   1051.4758619
     150.000    4242.1544587   1059.7743813   1113.7342651
     160.000    4231.1868115   1133.6237185   1175.3735501
     170.000    4219.4845020   1206.7175870   1236.5329988
     180.000    4207.0547708   1279.1179604   1297.3124790
     190.000    4193.9042658   1350.8812185   1357.7777988
     200.000    4180.0391017   1422.0576866   1417.9661561
     210.000    4165.4649201   1492.6915494   1477.8914039
     220.000    4150.1869514   1562.8210215   1537.5488890
     230.000    4134.2100718   1632.4786831   1596.9197235
     240.000    4117.5388586   1701.6919128   1655.9744418
     250.000    4100.1776390   1770.4833693   1714.6760613
     260.000    4082.1305353   1838.8714886   1772.9826056
     270.000    4063.4015043   1906.8709727   1830.8491592
     280.000    4043.9943728   1974.4932572   1888.2295277
     290.000    4023.9128676   2041.7469496   1945.0775678
     300.000    4003.1606416   2108.6382327   2001.3482434
     310.000    3981.7412970   2175.1712333   2056.9984531
     320.000    3959.6584031   2241.3483555   2111.9876660
     330.000    3936.9155127   2307.1705795   2166.2783961
     340.000    3913.5161750   2372.6377278   2219.8365397
     350.000    3889.4639454   2437.7487011   2272.6315963
     360.000    3864.7623942   2502.5016857   2324.6367902
     370.000    3839.4151127   2566.8943346   2375.8291097
     380.000    3813.4257177   2630.9239245   2426.1892750
     390.000    3786.7978543   2694.5874907   2475.7016505
     400.000    3759.5351982   2757.8819425   2524.3541095
     410.000    3731.6414562   2820.8041600   2572.1378642
     420.000    3703.1203660   2883.3510753   2619.0472668
     430.000    3673.9756956   2945.5197389   2665.0795935
     440.000    3644.2112414   3007.3073732   2710.2348147
     450.000    3613.8308268   3068.7114155   2754.5153598
     460.000    3582.8382995   3129.7295500   2797.9258803
     470.000    3551.2375290   3190.3597324   2840.4730164
     480.000    3519.0324039   3250.6002059   2882.1651694
     490.000    3486.2268288   3310.4495120   2923.0122831
     500.000    3452.8247214   3369.9064952   2963.0256370
     510.000    3418.8300095   3428.9703039   3002.2176507
     520.000    3384.2466278   3487.6403865   3040.6017026
     530.000    3349.0785151   3545.9164857   3078.1919620
     540.000    3313.3296113   3603.7986297   3115.0032354
     550.000    3277.0038547   3661.2871216   3151.0508268
     560.000    3240.1051792   3718.3825273   3186.3504115
     570.000    3202.6375117   3775.0856628   3220.9179235
     580.000    3164.6047700   3831.3975799   3254.7694549
     590.000    3126.0108600   3887.3195524   3287.9211673
     600.000    3086.8596739   3942.8530616   3320.3892144
     610.000    3047.1550881   3997.9997817   3352.1896747
     620.000    3006.9009614   4052.7615658   3383.3384937
     630.000    2966.1011332   4107.1404318   3413.8514344
     640.000    2924.7594219   4161.1385487   3443.7440364
     650.000    2882.8796237   4214.7582237   3473.0315809
     660.000    2840.4655108   4268.0018895   3501.7290630
     670.000    2797.5208308   4320.8720921   3529.8511693
     680.000    2754.0493050   4373.3714797   3557.4122601
     690.000    2710.0546281   4425.5027917   3584.4263566
     700.000    2665.5404667   4477.2688485   3610.9071315
     710.000    2620.5104590   4528.6725419   3636.8679034
     720.000    2574.9682139   4579.7168260   3662.3216335
     730.000    2528.9173105   4630.4047093   3687.2809250
     740.000    2482.3612976   4680.7392464   3711.7580248
     750.000    2435.3036931   4730.7235308   3735.7648270
     760.000    2387.7479840   4780.3606885   3759.3128772
     770.000    2339.6976259   4829.6538715   3782.4133789
     780.000    2291.1560426   4878.6062522   3805.0772003
     790.000    2242.1266263   4927.2210181   3827.3148820
     800.000    2192.6127370   4975.5013670   3849.1366455
     810.000    2142.6177030   5023.4505027   3870.5524017
     820.000    2092.1448203   5071.0716305   3891.5717603
     830.000    2041.1973530   5118.3679543   3912.2040387
     840.000    1989.7785332   5165.3426723   3932.4582719
     850.000    1937.8915610   5211.9989749   3952.3432213
     860.000    1885.5396045   5258.3400411   3971.8673846
     870.000    1832.7258004   5304.3690366   3991.0390046
     880.000    1779.4532535   5350.0891113   4009.8660785
     890.000    1725.7250374   5395.5033974   4028.3563671
     900.000    1671.5441945   5440.6150076   4046.5174027
     910.000    1616.9137359   5485.4270332   4064.3564984
     920.000    1561.8366422   5529.9425431   4081.8807557
     930.000    1506.3158633   5574.1645823   4099.0970727
     940.000    1450.3543187   5618.0961707   4116.0121514
     950.000    1393.9548980   5661.7403025   4132.6325057
     960.000    1337.1204610   5705.0999448   4148.9644676
     970.000    1279.8538376   5748.1780375   4165.0141948
     980.000    1222.1578290   5790.9774919   4180.7876766
     990.000    1164.0352070   5833.5011911   4196.2907404
    1000.000    1105.4887149   5875.7519886   4211.5290576
