mesh size = 12
temperatures   free_energy      entropy        heat_capacity
       0.000    4300.3740369      0.0000000      0.0000000
      10.000    4300.2150638     43.4927497     67.4139052
      20.000    4299.3949574    124.5785544    182.9383903
      30.000    4297.6751894    220.5145955    295.5296370
      40.000    4294.9757747    319.3726024    394.4246763
      50.000    4291.2919580    417.0476092    482.8511775
      60.000    4286.6428710    512.3353453    563.8271047
      70.000    4281.0540958    604.9789046    639.3028969
      80.000    4274.5519157    695.0387276    710.5563782
      90.000    4267.1613804    782.6817114    778.4996079
     100.000    4258.9056753    868.1066231    843.8380680
     110.000    4249.8059651    951.5161129    907.1459045
     120.000    4239.8814185   1033.1055753    968.9006070
     130.000    4229.1493074   1113.0584276   1029.4988804
     140.000    4217.6251392   1191.5439876   1089.2646252
     150.000    4205.3228026   1268.7165360   1148.4545916
     160.000    4192.2547203   1344.7150459   1207.2642287
     170.000    4178.4320007   1419.6633773   1265.8344619
     180.000    4163.8645875   1493.6708267   1324.2592156
     190.000    4148.5614005   1566.8329446   1382.5931655
     200.000    4132.5304690   1639.2325346   1440.8592009
     210.000    4115.7790532   1710.9407597   1499.0552252
     220.000    4098.3137551   1782.0182865   1557.1600927
     230.000    4080.1406179   1852.5164204   1615.1386214
     240.000    4061.2652138   1922.4781921   1672.9457258
     250.000    4041.6927220   1991.9393759   1730.5297588
     260.000    4021.4279961   2060.9294248   1787.8351809
     270.000    4000.4756235   2129.4723197   1844.8046710
     280.000    3978.8399755   2197.5873323   1901.3807814
     290.000    3956.5252519   2265.2897048   1957.5072259
     300.000    3933.5355172   2332.5912541   2013.1298706
     310.000    3909.8747329   2399.5009043   2068.1974856
     320.000    3885.5467836   2466.0251557   2122.6622990
     330.000    3860.5554993   2532.1684961   2176.4803892
     340.000    3834.9046737   2597.9337603   2229.6119436
     350.000    3808.5980792   2663.3224433   2282.0214037
     360.000    3781.6394786   2728.3349724   2333.6775177
     370.000    3754.0326349   2792.9709414   2384.5533146
     380.000    3725.7813184   2857.2293135   2434.6260146
     390.000    3696.8893122   2921.1085934   2483.8768883
     400.000    3667.3604162   2984.6069744   2532.2910740
     410.000    3637.1984491   3047.7224619   2579.8573652
     420.000    3606.4072502   3110.4529772   2626.5679748
     430.000    3574.9906797   3172.7964425   2672.4182849
     440.000    3542.9526182   3234.7508510   2717.4065879
     450.000    3510.2969658   3296.3143232   2761.5338249
     460.000    3477.0276406   3357.4851505   2804.8033262
     470.000    3443.1485767   3418.2618298   2847.2205575
     480.000    3408.6637221   3478.6430881   2888.7928745
     490.000    3373.5770364   3538.6279005   2929.5292891
     500.000    3337.8924881   3598.2155007   2969.4402484
     510.000    3301.6140521   3657.4053878   3008.5374277
     520.000    3264.7457069   3716.1973266   3046.8335384
     530.000    3227.2914320   3774.5913463   3084.3421514
     540.000    3189.2552054   3832.5877349   3121.0775349
     550.000    3150.6410010   3890.1870313   3157.0545079
     560.000    3111.4527859   3947.3900166   3192.2883084
     570.000    3071.6945184   4004.1977027   3226.7944744
     580.000    3031.3701454   4060.6113211   3260.5887396
     590.000    2990.4836007   4116.6323098   3293.6869402
     600.000    2949.0388026   4172.2623009   3326.1049342
     610.000    2907.0396520   4227.5031074   3357.8585306
     620.000    2864.4900311   4282.3567101   3388.9634290
     630.000    2821.3938014   4336.8252448   3419.4351681
     640.000    2777.7548022   4390.9109893   3449.2890816
     650.000    2733.5768495   4444.6163517   3478.5402624
     660.000    2688.8637347   4497.9438579   3507.2035328
     670.000    2643.6192231   4550.8961409   3535.2934202
     680.000    2597.8470535   4603.4759293   3562.8241389
     690.000    2551.5509368   4655.6860376   3589.8095752
     700.000    2504.7345554   4707.5293559   3616.2632778
     710.000    2457.4015625   4759.0088414   3642.1984504
     720.000    2409.5555813   4810.1275093   3667.6279484
     730.000    2361.2002048   4860.8884249   3692.5642770
     740.000    2312.3389950   4911.2946963   3717.0195927
     750.000    2262.9754826   4961.3494671   3741.0057054
     760.000    2213.1131667   5011.0559104   3764.5340833
     770.000    2162.7555148   5060.4172223   3787.6158577
     780.000    2111.9059620   5109.4366168   3810.2618302
     790.000    2060.5679114   5158.1173208   3832.4824794
     800.000    2008.7447338   5206.4625689   3854.2879693
     810.000    1956.4397674   5254.4755998   3875.6881576
     820.000    1903.6563184   5302.1596519   3896.6926045
     830.000    1850.3976602   5349.5179601   3917.3105815
     840.000    1796.6670342   5396.5537525   3937.5510808
     850.000    1742.4676495   5443.2702472   3957.4228245
     860.000    1687.8026829   5489.6706499   3976.9342733
     870.000    1632.6752795   5535.7581517   3996.0936360
     880.000    1577.0885523   5581.5359264   4014.9088782
     890.000    1521.0455829   5627.0071291   4033.3877311
     900.000    1464.5494212   5672.1748941   4051.5377000
     910.000    1407.6030861   5717.0423338   4069.3660724
     920.000    1350.2095653   5761.6125366   4086.8799263
     930.000    1292.3718159   5805.8885666   4104.0861382
     940.000    1234.0927644   5849.8734619   4120.9913898
     950.000    1175.3753071   5893.5702337   4137.6021762
     960.000    1116.2223102   5936.9818661   4153.9248121
     970.000    1056.6366104   5980.1113144   4169.9654391
     980.000     996.6210148   6022.9615056   4185.7300315
     990.000     936.1783015   6065.5353372   4201.2244028
    1000.000     875.3112197   6107.8356768   4216.4542118
